Name,Comedy,Action,Fantasy,Adventure,Kids,Drama,Sci-Fi,Music,Shounen,Slice of Life,Romance,School,Supernatural,Hentai,Historical,Mecha,Magic,Seinen,Ecchi,Mystery,Sports,Shoujo,Parody,Super Power,Military,Dementia,Demons,Space,Horror,Martial Arts,Harem,Game,Psychological,Police,Samurai,Vampire,Cars,Thriller,Shounen Ai,Josei,Shoujo Ai,Unknown,Yaoi,Yuri,Genres
Gate Keepers,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen"
Gate Keepers 21,,1.0,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action, Drama, Mecha, Sci-Fi, Shounen"
Gensoumaden Saiyuuki,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural"
Saiyuuki Reload,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
Saiyuuki Reload Gunlock,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural"
GetBackers,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural"
Green Green,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Comedy, Ecchi, Romance, School, Slice of Life"
Gunslinger Girl,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,"Action, Psychological, Military, Drama, Sci-Fi"
Hikaru no Go,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,"Comedy, Game, Shounen, Supernatural"
Hunter x Hunter,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Super Power, Fantasy, Shounen"
Hunter x Hunter: Original Video Animation,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Super Power, Shounen"
Hunter x Hunter: Greed Island,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Super Power, Fantasy, Shounen"
Hunter x Hunter: Greed Island Final,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,"Action, Adventure, Super Power, Fantasy, Shounen"
Jinki:Extend,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mecha, Sci-Fi"
